GRADE	TYPE	LABEL	STANDARD	TOPIC	INDICATOR	OBJECTIVE	ASSESSMENT_LIMIT
3	Objective	1.A.1.a	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Patterns and Functions	" Identify, describe, extend, and create numeric patterns and functions"	Represent and analyze numeric patterns using skip counting	"Use 2, 5, 10, or 100 starting with any whole number (0 – 1000)"
3	Objective	1.A.1.b	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Patterns and Functions	" Identify, describe, extend, and create numeric patterns and functions"	Represent and analyze numeric patterns using skip counting	"Use 3 or 4 starting with 0, 1, 2, 3, or 4 (0 - 30)"
3	Objective	1.A.1.c	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Patterns and Functions	" Identify, describe, extend, and create numeric patterns and functions"	Represent and analyze numeric patterns using skip counting backward	Use 10 or 100 starting with any whole number (0 – 1000)
3	Objective	1.A.1.d	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Patterns and Functions	" Identify, describe, extend, and create numeric patterns and functions"	Complete a function table using a given addition or subtraction rule	
3	Objective	1.A.2.a	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Patterns and Functions	"Identify, describe, extend, and create non-numeric growing or repeating patterns"	"Represent and analyze growing patterns using symbols, shapes, designs, or pictures"	"Start at the beginning, show at least 3 levels but no more than 5 levels, and ask for the next level"
3	Objective	1.A.2.b	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Patterns and Functions	"Identify, describe, extend, and create non-numeric growing or repeating patterns"	"Represent and analyze repeating patterns using symbols, shapes, designs, or pictures"	Use no more than 4 objects in the core of the pattern
3	Objective	1.B.1.a	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	"Expressions, Equations, and Inequalities"	Write and identify expressions	"Represent numeric quantities using operational symbols (+, -, _, ÷)"	Use operational symbols (+ or -) and whole numbers (0 – 50)
3	Objective	1.B.2.a	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	"Expressions, Equations, and Inequalities"	"Identify, write, solve, and apply equations and inequalities"	"Represent relationships using appropriate relational symbols (<, >, or =) and operational symbols (+, -, _, ÷) on either side"	Use operational symbols (+ or -) and whole numbers (0 – 1000)
3	Objective	1.B.2.b	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	"Expressions, Equations, and Inequalities"	"Identify, write, solve, and apply equations and inequalities"	"Find the missing number (unknown) in a number sentence (equation) using operational symbols (+, -, _, ÷)"	Use one operational symbol (+ or -) and whole numbers (0 – 100)
3	Objective	1.B.2.c	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	"Expressions, Equations, and Inequalities"	"Identify, write, solve, and apply equations and inequalities"	Find the missing number(s) (unknown) on one or both sides of a number sentence (equation)	
3	Objective	1.C.1.a	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Numeric and Graphic Representations of Relationships	Locate points on a number line	Represent whole numbers on a number line	Use whole numbers (0 - 500)
3	Objective	1.C.1.b	"Knowledge of Algebra, Patterns, and Functions: Students will algebraically represent, model, analyze, or solve mathematical or real-world problems involving patterns or functional relationships."	Numeric and Graphic Representations of Relationships	Locate points on a number line	Represent proper fractions on a number line	"Use fractions that have denominators of 2, 3, or 4"
3	Objective	2.A.1.a	"Knowledge of Geometry: Students will apply the properties of one-, two-, or three-dimensional geometric figures to describe, reason, or solve problems about shape, size, position, or motion of objects."	Plane Geometric Figures	Analyze the properties of plane geometric figures	"Identify or describe points, lines, line segments, rays, and angles"	
3	Objective	2.A.1.b	"Knowledge of Geometry: Students will apply the properties of one-, two-, or three-dimensional geometric figures to describe, reason, or solve problems about shape, size, position, or motion of objects."	Plane Geometric Figures	Analyze the properties of plane geometric figures	Identify or describe polygons	"Use triangles, quadrilaterals, pentagons, hexagons, or octagons and the number of sides or vertices"
3	Objective	2.A.1.c	"Knowledge of Geometry: Students will apply the properties of one-, two-, or three-dimensional geometric figures to describe, reason, or solve problems about shape, size, position, or motion of objects."	Plane Geometric Figures	Analyze the properties of plane geometric figures	Identify or describe quadrilaterals	"Use squares, rectangles, rhombi, parallelograms, and trapezoids and the length of sides"
3	Objective	2.A.1.d	"Knowledge of Geometry: Students will apply the properties of one-, two-, or three-dimensional geometric figures to describe, reason, or solve problems about shape, size, position, or motion of objects."	Plane Geometric Figures	Analyze the properties of plane geometric figures	"Identify triangles, rectangles, or squares as part of a composite figure"	Use a combination of 2 of the stated polygons
3	Objective	2.A.2.a	"Knowledge of Geometry: Students will apply the properties of one-, two-, or three-dimensional geometric figures to describe, reason, or solve problems about shape, size, position, or motion of objects."	Plane Geometric Figures	Analyze geometric relationships	Identify right angles	
