grade,number,level_0,level_1,level_2,level_3,level_4
3,1.A.1.a,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""A"",""PatternsÊand Functions""]","[""1"",""Identify, describe, extend, and create numericÊpatternsÊand functions""]","[""a"",""Represent and analyze numericÊpatternsÊusing skip counting""]","[""Use 2, 5, 10, or 100 starting with any whole number (0 Ð 1000)""]"
3,1.A.1.b,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""A"",""PatternsÊand Functions""]","[""1"",""Identify, describe, extend, and create numericÊpatternsÊand functions""]","[""b"",""Represent and analyze numericÊpatternsÊusing skip counting""]","[""Use 3 or 4 starting with 0, 1, 2, 3, or 4 (0 - 30)""]"
3,1.A.1.c,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""A"",""PatternsÊand Functions""]","[""1"",""Identify, describe, extend, and create numericÊpatternsÊand functions""]","[""c"",""Represent and analyze numericÊpatternsÊusing skip counting backward""]","[""Use 10 or 100 starting with any whole number (0 Ð 1000)""]"
3,1.A.1.d,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""A"",""PatternsÊand Functions""]","[""1"",""Identify, describe, extend, and create numericÊpatternsÊand functions""]","[""d"",""Complete aÊfunctionÊtable using a given addition or subtraction rule""]","[""""]"
3,1.A.2.a,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""A"",""PatternsÊand Functions""]","[""2"",""Identify, describe, extend, and create non-numeric growing or repeatingÊpatterns""]","[""a"",""Represent and analyze growingÊpatternsÊusing symbols, shapes, designs, or pictures""]","[""Start at the beginning, show at least 3 levels but no more than 5 levels, and ask for the next level""]"
3,1.A.2.b,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""A"",""PatternsÊand Functions""]","[""2"",""Identify, describe, extend, and create non-numeric growing or repeatingÊpatterns""]","[""b"",""Represent and analyze repeatingÊpatternsÊusing symbols, shapes, designs, or pictures""]","[""Use no more than 4 objects in the core of the pattern""]"
3,1.B.1.a,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""B"",""Expressions, Equations, and Inequalities""]","[""1"",""Write and identify expressions""]","[""a"",""Represent numeric quantities using operational symbols (+, -, _, Ö)""]","[""Use operational symbols (+ or -) andÊwhole numbersÊ(0 Ð 50)""]"
3,1.B.2.a,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""B"",""Expressions, Equations, and Inequalities""]","[""2"",""Identify, write, solve, and apply equations and inequalities""]","[""a"",""Represent relationships using appropriate relational symbols (<, >, or =) and operational symbols (+, -, _, Ö) on either side""]","[""Use operational symbols (+ or -) andÊwhole numbersÊ(0 Ð 1000)""]"
3,1.B.2.b,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""B"",""Expressions, Equations, and Inequalities""]","[""2"",""Identify, write, solve, and apply equations and inequalities""]","[""b"",""Find the missing number (unknown) in a number sentence (equation) using operational symbols (+, -, _, Ö)""]","[""Use one operational symbol (+ or -) andÊwhole numbersÊ(0 Ð 100)""]"
3,1.B.2.c,"[""1"",""Knowledge of Algebra, Patterns, and Functions""]","[""B"",""Expressions, Equations, and Inequalities""]","[""2"",""Identify, write, solve, and apply equations and inequalities""]","[""c"",""Find the missing number(s) (unknown) on one or both sides of a number sentence (equation)""]","[""""]"
